Incident.day	Incident.month	Incident.year	Latitude	Longitude	Shark.common.name	Shark.scientific.name	Provoked.unprovoked	Victim.activity	Injury.location	Injury.description	Injury.severity\xca	Victim.gender	Victim.age	Time.of.incident
13	2	1924	-33.9	151.2666667	white shark	Carcharodon carcharias	unprovoked	swimming	"leg, foot"		major lacerations	female	30	0700
25	4	1924	-34.66666667	150.85	white shark	Carcharodon carcharias	unprovoked	swimming			major lacerations	male	20	
18	10	1924	-37.83333333	144.9333333	white shark	Carcharodon carcharias	unprovoked	swimming	leg		major lacerations	male		
27	3	1925	-33.91666667	151.25	white shark	Carcharodon carcharias	unprovoked	swimming	leg		major lacerations	male	16	1700
12	3	1925	-32.91666667	151.7833333	white shark	Carcharodon carcharias	unprovoked	swimming	"arm, torso"		major lacerations	male	16	1530
22	11	1925	-31.98333333	115.75	tiger shark	Galeocerdo cuvier	unprovoked	swimming	"torso, leg"		major lacerations	male	55	
18	3	1926	-34.9	137	white shark	Carcharodon carcharias	unprovoked	swimming	thigh		major lacerations	female		1600
23	10	1926	-29.45	153.1833333	bull shark	Carcharhinus leucas	unprovoked	swimming				male		1600
17	11	1926	-10.56666667	142.2166667	tiger shark	Galeocerdo cuvier	provoked	snorkelling	arm		minor lacerations	male		
2	12	1926	-18.71666667	146.5666667	tiger shark	Galeocerdo cuvier	provoked	snorkelling				male		
1	1	1927	-10.56666667	142.2166667	tiger shark	Galeocerdo cuvier	provoked	snorkelling	"torso, shoulder"		minor lacerations	male		
3	1	1927	-34.05	151.0833333	tiger shark	Galeocerdo cuvier	unprovoked	swimming	thigh		major lacerations	male	15	1130
9	2	1927	-27.46666667	153.0333333	bull shark	Carcharhinus leucas	unprovoked	swimming	other: uninjured			male		
1	3	1927	-32.93333333	151.75	white shark	Carcharodon carcharias	unprovoked	swimming	"hand, pelvic region"		major lacerations	male	17	1500
8	4	1927	-10.56666667	142.2166667	tiger shark	Galeocerdo cuvier	provoked		leg		minor lacerations	male		
10	4	1927	-10.56666667	142.2166667	tiger shark	Galeocerdo cuvier	provoked	snorkelling	leg		major lacerations	male		
1	5	1927	-17.21666667	145.9666667	tiger shark	Galeocerdo cuvier	unprovoked	swimming	leg		major lacerations	male		
26	7	1927	-17.98333333	122.2333333	tiger shark	Galeocerdo cuvier	provoked	diving	other: uninjured			male		
27	1	1928	-9.516666667	141.5666667	tiger shark	Galeocerdo cuvier	provoked		"arm, leg"		major lacerations	male		
20	2	1928	-14.15	144.5	tiger shark	Galeocerdo cuvier	provoked	snorkelling				male		
20	3	1928	-19.8	149.05	tiger shark	Galeocerdo cuvier	provoked	snorkelling	torso		minor lacerations	male		
6	4	1928	-27.51666667	152.9833333	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		minor lacerations	male	15	
14	4	1928	-33.88333333	151.2666667	white shark	Carcharodon carcharias	unprovoked	swimming	calf		major lacerations	male	19	1600
4	4	1928	-32.93333333	151.75	white shark	Carcharodon carcharias	unprovoked	swimming	"hand, leg, torso"		major lacerations	male	27	1800
11	7	1928	-10.58333333	142.2166667	tiger shark	Galeocerdo cuvier	unprovoked	swimming	"arm, torso"		major lacerations	male		
21	12	1928	-10.58333333	142.2166667	tiger shark	Galeocerdo cuvier	provoked	snorkelling	"arm, hand"		major lacerations	male		
27	1	1929	-19.13333333	146.8333333	tiger shark	Galeocerdo cuvier	unprovoked	swimming	"arm, torso"		major lacerations	male	18	1730
1	1	1929	-34.41666667	137.9166667	wobbegong	Orectolobidae	provoked	fishing	leg		other: teeth marks	male		
12	1	1929	-33.88333333	151.2666667	white shark	Carcharodon carcharias	unprovoked	swimming	thigh		major lacerations	male	14	1830
24	2	1929	-35.03333333	150.7166667	wobbegong	Orectolobidae	provoked	snorkelling	foot		minor lacerations	male		
18	2	1929	-33.93333333	151.25	white shark	Carcharodon carcharias	unprovoked	swimming	"leg, hand"		major lacerations	male	19	1600
8	2	1929	-33.88333333	151.2666667	white shark	Carcharodon carcharias	unprovoked	swimming	thigh		major lacerations	male	39	1600
10	2	1929	-34.96666667	138.5	white shark	Carcharodon carcharias	unprovoked	unmotorised boating	other: uninjured			female		
26	3	1929	-19.51666667	148.8333333			provoked	snorkelling			major lacerations	male		
3	3	1929	-34.41666667	137.9166667	wobbegong	Orectolobidae	unprovoked	unmotorised boating	leg			male	12	
3	3	1929	-34.41666667	137.9166667	wobbegong	Orectolobidae	unprovoked	unmotorised boating	foot			male	12	
12	3	1929	-9.416666667	142.5333333	tiger shark	Galeocerdo cuvier	unprovoked	swimming				male		
16	4	1929	-21	149.8833333	tiger shark	Galeocerdo cuvier	provoked	snorkelling	"arm, hand"		major lacerations	male		
11	4	1929	-26.98333333	153.0666667	bull shark	Carcharhinus leucas	provoked	fishing	leg		major lacerations	male	21	
9	4	1929	-10.11666667	142.1333333	tiger shark	Galeocerdo cuvier	unprovoked	swimming	thigh		major lacerations	male		1200
31	5	1929	-10.05	143.0666667	tiger shark	Galeocerdo cuvier	provoked	snorkelling	"leg, pelvic region"		major lacerations	male		
21	9	1929	-10.56666667	142.2166667	tiger shark	Galeocerdo cuvier	provoked	spearfishing	leg		major lacerations	male		
1	9	1929	-19.45	146.6	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		major lacerations	male	42	
20	10	1929	-10.11666667	142.1333333	tiger shark	Galeocerdo cuvier	unprovoked	swimming	foot		major lacerations	male		
3	12	1929	-19.45	146.6	bull shark	Carcharhinus leucas	unprovoked	swimming	"torso, leg"		major lacerations	male	50	
16	12	1929	-33.71666667	151.3	wobbegong	Orectolobidae	unprovoked	swimming	leg		minor lacerations	female	17	
26	12	1929	-33.85	151.1833333	bull shark	Carcharhinus leucas	unprovoked	swimming	"arm, leg, pelvic region"		major lacerations	male	16	
13	12	1929	-10.56666667	142.2166667	tiger shark	Galeocerdo cuvier	unprovoked	swimming	"arm, torso"		major lacerations	male		
23	12	1929	-28.16666667	153.5333333			unprovoked	swimming	other: uninjured			male		
1	1	1930	-10.15	142.1833333	tiger shark	Galeocerdo cuvier	provoked	spearfishing	arm		major lacerations	male		
15	2	1930	-37.9	144.9833333	white shark	Carcharodon carcharias	unprovoked	swimming	other: body not recovered			male	19	1630
20	2	1930	-10.56666667	142.2166667	tiger shark	Galeocerdo cuvier	unprovoked	swimming	"arm, torso"		major lacerations	male		
4	6	1930	-9.95	142.1833333	tiger shark	Galeocerdo cuvier	unprovoked	swimming				male		
1	7	1930	-10.25	142.1	tiger shark	Galeocerdo cuvier	provoked	snorkelling				male	16	
31	8	1930	-28.76666667	114.6	wobbegong	Orectolobidae	provoked	fishing	leg		other: teeth marks	male		
25	12	1930	-33.83333333	151.0666667	bull shark	Carcharhinus leucas	unprovoked	swimming	torso		abrasion	male	49	
10	1	1931	-33.8	151.2333333	wobbegong	Orectolobidae	provoked	fishing	foot		minor lacerations	male		
7	1	1931	-23.11666667	150.7333333	tiger shark	Galeocerdo cuvier	unprovoked	swimming	torso		minor lacerations	male	18	1600
14	1	1931	-10.58333333	142.2166667	tiger shark	Galeocerdo cuvier	provoked	snorkelling	"leg, pelvic region"		major lacerations	male		
24	1	1931	-10.56666667	142.2166667	tiger shark	Galeocerdo cuvier	provoked	snorkelling				male		
22	3	1931	-19.45	146.6	bull shark	Carcharhinus leucas	provoked	swimming	thigh		major lacerations	male	19	
26	11	1931	-17.53333333	146.0166667	tiger shark	Galeocerdo cuvier	provoked	snorkelling	leg		major lacerations	male		
27	1	1932	-27.6	152.7666667	bull shark	Carcharhinus leucas	unprovoked	swimming	thigh		minor lacerations	male		
13	2	1932	-23.83333333	151.2166667	bull shark	Carcharhinus leucas	provoked	fishing	foot		minor lacerations	male		
24	2	1932	-34.36666667	150.9166667	wobbegong	Orectolobidae	provoked	fishing	foot		minor lacerations	male		
1	5	1932	-16.91666667	145.7666667	tiger shark	Galeocerdo cuvier	provoked	snorkelling	arm		major lacerations	male		
12	5	1932	-9.4	142.6666667	tiger shark	Galeocerdo cuvier	unprovoked	swimming				male		
9	8	1932	-10.56666667	142.2166667	tiger shark	Galeocerdo cuvier	unprovoked	swimming	"leg, pelvic region"		major lacerations	male		
31	10	1932	-33	151.7166667	white shark	Carcharodon carcharias	unprovoked	swimming	torso		minor lacerations	male	24	1100
9	12	1932	-11.93333333	132.6166667	tiger shark	Galeocerdo cuvier	unprovoked	swimming	leg		major lacerations	male		
4	1	1933	-19.25	146.8166667	tiger shark	Galeocerdo cuvier	unprovoked	swimming	torso		major lacerations	male	38	
7	2	1933	-31.96666667	115.85	bull shark	Carcharhinus leucas	provoked	fishing	other: uninjured			male		
15	2	1933	-14.15	144.5	tiger shark	Galeocerdo cuvier	provoked	snorkelling	"arm, shoulder"		major lacerations	male		
31	3	1933	-20.96666667	149.75	tiger shark	Galeocerdo cuvier	provoked	snorkelling	leg		major lacerations	male		
27	6	1933	-12.45	130.8333333			provoked	fishing	other: uninjured			male		
12	6	1933	-28.13333333	153.4666667	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		abrasion	male		
3	7	1933	-17.96666667	122.1666667	tiger shark	Galeocerdo cuvier	provoked	diving	other: uninjured			male		
5	9	1933	-10.56666667	142.2166667	tiger shark	Galeocerdo cuvier	provoked	snorkelling	thigh		major lacerations	male		
18	10	1933	-14.15	144.5	tiger shark	Galeocerdo cuvier	provoked	snorkelling	"arm, hand"		major lacerations	male	17	
1	10	1933	-29.1	153.4333333	wobbegong	Orectolobidae	provoked	swimming	foot		minor lacerations	male		
27	1	1934	-33.98333333	151.0666667	bull shark	Carcharhinus leucas	unprovoked	swimming	"arm, torso"		minor lacerations	male	15	
7	1	1934	-33.78333333	151.2833333	white shark	Carcharodon carcharias	unprovoked	swimming	leg		major lacerations	male	22	1500
1	1	1934	-20	148.45	tiger shark	Galeocerdo cuvier	provoked	snorkelling	other: uninjured			male		
24	2	1934	-10.6	142.6166667	tiger shark	Galeocerdo cuvier	provoked	spearfishing	thigh		abrasion	male		
12	3	1934	-33.75	151.3	white shark	Carcharodon carcharias	unprovoked	swimming	"leg, pelvic region"		major lacerations	male	17	1500
15	4	1934	-28.15	153.4833333	tiger shark	Galeocerdo cuvier	unprovoked	swimming	calf		minor lacerations	male	34	0920
1	4	1934	-33.78333333	151.2833333	white shark	Carcharodon carcharias	unprovoked	swimming	"leg, torso"		major lacerations	male	16	1230
26	8	1934	-18.23333333	146.3166667	tiger shark	Galeocerdo cuvier	unprovoked	swimming	torso			male		
2	10	1934	-9.966666667	143.2666667	tiger shark	Galeocerdo cuvier	provoked	snorkelling	arm		major lacerations	male		
9	10	1934	-11.66666667	132.5166667	tiger shark	Galeocerdo cuvier	unprovoked	swimming	"arm, torso, thigh"		major lacerations	female		
31	12	1934	-33.95	151.9666667	bull shark	Carcharhinus leucas	unprovoked	swimming	arm		major lacerations	female	13	2000
31	12	1934	-33.93333333	150.9666667	bull shark	Carcharhinus leucas	unprovoked	swimming	calf		major lacerations	male	20	1630
23	12	1934	-33.48333333	151.3	bull shark	Carcharhinus leucas	unprovoked	swimming	torso			male	14	1300
23	12	1934	-33.48333333	151.3	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		abrasion	female	12	1300
1	1	1935	-10.56666667	142.2166667	tiger shark	Galeocerdo cuvier	unprovoked	swimming				male		
14	2	1935	-34.3	150.9333333	white shark	Carcharodon carcharias	unprovoked	boarding	thigh		minor lacerations	male	20	1730
9	3	1935	-33.93333333	151.25	white shark	Carcharodon carcharias	unprovoked	swimming	"arm, torso, pelvic region"		major lacerations	male		1230
30	3	1935	-21.16666667	149.2333333	whaler shark	Carcharhinidae	unprovoked	snorkelling	"leg, pelvic region"		other: teeth marks	male		
18	3	1935	-14.66666667	145.45	tiger shark	Galeocerdo cuvier	provoked	snorkelling	"hand, thigh"		major lacerations	male		
2	3	1935	-33.7	151.3	white shark	Carcharodon carcharias	unprovoked	swimming	thigh		major lacerations	male	22	1730
12	5	1935	-9.4	142.6666667	whaler shark	Carcharhinidae	provoked	snorkelling	"arm, hand"		minor lacerations	male		
13	8	1935	-9.4	142.6666667	tiger shark	Galeocerdo cuvier	provoked	snorkelling	thigh		major lacerations	male		
13	11	1935	-17.53333333	146.0166667	tiger shark	Galeocerdo cuvier	provoked	snorkelling	"arm, shoulder"		minor lacerations	male		
1	1	1936	-33.88333333	151.2666667	white shark	Carcharodon carcharias	provoked	boarding	other: uninjured			male		
1	1	1936	-20.66666667	117.1833333	tiger shark	Galeocerdo cuvier	provoked	snorkelling	leg		major lacerations	male		
22	1	1936	-34.9	137	white shark	Carcharodon carcharias	unprovoked	swimming	torso			male	16	1800
4	2	1936	-33.78333333	151.2833333	white shark	Carcharodon carcharias	unprovoked	swimming	other: body not recovered			male	14	1500
19	2	1936	-27.43333333	153.0833333	bull shark	Carcharhinus leucas	unprovoked	unmotorised boating	other: uninjured			male		
29	3	1936	-12.78333333	143.6	tiger shark	Galeocerdo cuvier	provoked	snorkelling	arm		major lacerations	male		
19	3	1936	-12.16666667	143.3833333	whaler shark	Carcharhinidae	unprovoked	swimming	"arm, hand"		minor lacerations	male		
21	4	1936	-16.7	146.05	tiger shark	Galeocerdo cuvier	provoked	snorkelling	"arm, torso, foot"		major lacerations	male	16	
28	5	1936	-20.81666667	149.4833333			provoked	snorkelling	leg		major lacerations	male		
26	6	1936	-10.6	142.2166667	tiger shark	Galeocerdo cuvier	provoked	snorkelling	torso		major lacerations	male	16	
4	7	1936	-20.81666667	149.4833333	tiger shark	Galeocerdo cuvier	provoked	snorkelling	torso		major lacerations	male		
24	8	1936	-9.95	142.1833333	whaler shark	Carcharhinidae	provoked	snorkelling	foot		other: teeth marks	male		
20	11	1936	-31.98333333	115.5333333	wobbegong	Orectolobidae	provoked	swimming	leg		minor lacerations	male		
19	11	1936	-33.95	151.15	wobbegong	Orectolobidae	unprovoked	swimming	foot		minor lacerations	male	16	
12	12	1936	-32.9	151.75	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		major lacerations	male	16	1130
1	1	1937	-10.58333333	142.2166667	tiger shark	Galeocerdo cuvier	unprovoked	swimming			major lacerations	male		
13	2	1937	-32.93333333	151.75	white shark	Carcharodon carcharias	unprovoked	swimming	"torso, leg"		major lacerations	male	32	
11	2	1937	-30.91666667	153.0833333	wobbegong	Orectolobidae	unprovoked	swimming	foot		minor lacerations	male		
15	5	1937	-19.45	146.6	bull shark	Carcharhinus leucas	unprovoked	swimming	"leg, hand"		major lacerations	male	33	
31	8	1937	-9.95	142.1833333	tiger shark	Galeocerdo cuvier	provoked	snorkelling	head		major lacerations	male		
24	10	1937	-28.63333333	153.6166667	white shark	Carcharodon carcharias	unprovoked	swimming	torso		other: teeth marks	male	16	
27	10	1937	-28.16666667	153.5166667	tiger shark	Galeocerdo cuvier	unprovoked	swimming	"arm, torso, leg"		major lacerations	male	18	1715
27	10	1937	-28.16666667	153.5166667	tiger shark	Galeocerdo cuvier	unprovoked	swimming	torso		major lacerations	male	18	1715
20	11	1937	-23.38333333	150.5166667	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		abrasion	male		
11	11	1937	-18.53333333	146.2333333	tiger shark	Galeocerdo cuvier	provoked	snorkelling	"calf, foot"		major lacerations	male	17	
1	1	1938	-18.13333333	146.25	tiger shark	Galeocerdo cuvier	provoked	fishing	thigh		major lacerations	male		
14	1	1938	-33.85	151.25	bull shark	Carcharhinus leucas	provoked	swimming	"leg, foot"		major lacerations	male	24	
2	1	1938	-34.03333333	151.15	white shark	Carcharodon carcharias	unprovoked	boarding	other: uninjured			male		
8	3	1938	-12.03333333	134.2	whaler shark	Carcharhinidae	unprovoked	unmotorised boating	leg		major lacerations	male		
11	6	1938	-10.56666667	142.1666667			provoked	diving	other: body not recovered			male		
10	7	1938	-11.4	130.4	whaler shark	Carcharhinidae	provoked	diving	other: body not recovered			male		
11	10	1938	-27.43333333	153.1666667	tiger shark	Galeocerdo cuvier	provoked	fishing	foot		minor lacerations	male		
14	11	1938	-27.35	153.1166667	wobbegong	Orectolobidae	provoked	swimming	foot		other: teeth marks	male		
12	1	1939	-29.41666667	152.3333333	bull shark	Carcharhinus leucas	provoked	fishing	other: uninjured			male	11	
25	9	1939	-9.95	142.1666667	tiger shark	Galeocerdo cuvier	provoked	snorkelling	leg		major lacerations	male	17	
1	10	1939	-16.71666667	154.6833333			unprovoked	swimming	foot		major lacerations	male		
24	10	1939	-12.61666667	143.45	tiger shark	Galeocerdo cuvier	provoked	snorkelling	thigh		major lacerations	male	27	
28	12	1939	-33.98333333	151.0666667	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		surface wound	male	40	
14	12	1939	-21.16666667	149.2333333	bull shark	Carcharhinus leucas	unprovoked	swimming	"leg, foot"		major lacerations	male	20	1215
1	1	1940	-10.56666667	142.2166667	tiger shark	Galeocerdo cuvier	provoked	snorkelling	head		major lacerations	male		
30	1	1940	-27.48333333	153.0166667	bull shark	Carcharhinus leucas	unprovoked	swimming	"torso, shoulder"		minor lacerations	male	17	
15	1	1940	-28	153.4166667	tiger shark	Galeocerdo cuvier	unprovoked	swimming	"arm, torso"		minor lacerations	male	22	
23	1	1940	-33.95	151.15	tiger shark	Galeocerdo cuvier	unprovoked	swimming	"torso, leg"		major lacerations	male	13	1040
4	2	1940	-33.95	151.15	bull shark	Carcharhinus leucas	unprovoked	swimming	arm		major lacerations	male	55	1400
20	3	1940	-34.73333333	150.8333333	wobbegong	Orectolobidae	provoked	snorkelling	foot		minor lacerations	male		
28	5	1940	-21.4	150.5333333	tiger shark	Galeocerdo cuvier	unprovoked	swimming			minor lacerations	male	56	
28	12	1940	-32.85	151.8333333	tiger shark	Galeocerdo cuvier	unprovoked	swimming	torso		major lacerations	male	23	0900
8	10	1941	-10.56666667	142.2166667	tiger shark	Galeocerdo cuvier	unprovoked	swimming				male		
15	10	1941	-10.11666667	142.1333333	tiger shark	Galeocerdo cuvier	unprovoked	swimming				male		
19	11	1941	-26.46666667	110.2666667			unprovoked	swimming	leg		minor lacerations	male		
5	12	1941	-24.88333333	113.65	bull shark	Carcharhinus leucas	unprovoked	swimming	foot		major lacerations	male		
4	1	1942	-33.76666667	151.2166667	bull shark	Carcharhinus leucas	unprovoked	swimming	torso		major lacerations	female	28	1500
18	1	1942	-33.78333333	151.2833333	white shark	Carcharodon carcharias	provoked	boarding	other: uninjured			male		
9	5	1942	-17.7	146.5166667	tiger shark	Galeocerdo cuvier	provoked	snorkelling	arm		major lacerations	male		
4	8	1942	-20.08333333	148.8833333			provoked	snorkelling	leg		major lacerations	male		
12	9	1942	-16.78333333	145.7	tiger shark	Galeocerdo cuvier	unprovoked	swimming	leg		major lacerations	male	24	1630
26	12	1942	-33.76666667	151.2166667	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		major lacerations	female	15	1050
1	1	1943	-12.46666667	130.8333333	tiger shark	Galeocerdo cuvier	unprovoked	swimming	torso		minor lacerations	male		
14	1	1944	-32.16666667	152.5166667	white shark	Carcharodon carcharias	unprovoked	boarding	leg		major lacerations	male	14	
7	2	1945	-33.95	151.25	wobbegong	Orectolobidae	provoked	fishing	"arm, hand"		minor lacerations	male	24	
15	6	1945	-16.71666667	145.6666667	tiger shark	Galeocerdo cuvier	unprovoked	swimming				male		1600
17	1	1946	-19.25	146.8166667			unprovoked	swimming	foot		minor lacerations	male	12	
5	1	1946	-33.98333333	151.0833333	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		major lacerations	female	14	
10	2	1946	-31.93333333	115.75	white shark	Carcharodon carcharias	unprovoked	swimming	"thigh, calf, foot"		major lacerations	male	18	1215
19	4	1946	-16.78333333	145.7	tiger shark	Galeocerdo cuvier	unprovoked	swimming	"arm, leg"		major lacerations	male	17	0830
18	8	1946	-16.71666667	145.6333333	tiger shark	Galeocerdo cuvier	unprovoked	swimming	torso		major lacerations	male	30	1520
14	10	1946	-33.05	151.6333333	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		minor lacerations	male	15	1300
20	11	1946	-10.56666667	142.2166667	tiger shark	Galeocerdo cuvier	provoked	snorkelling	arm		major lacerations	male	30	
27	12	1946	-34.96666667	138.5	white shark	Carcharodon carcharias	unprovoked	swimming	"arm, hand"		minor lacerations	male	23	
23	7	1947	-12.45	130.7833333	tiger shark	Galeocerdo cuvier	provoked	diving	other: uninjured			male		
27	10	1947	-16.55	139.4	tiger shark	Galeocerdo cuvier	unprovoked	other: standing in water	leg		major lacerations	male		
8	11	1947	-31.33333333	152.8333333	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		major lacerations	male	12	1600
8	11	1947	-31.33333333	152.8333333	bull shark	Carcharhinus leucas	unprovoked	swimming	foot		minor lacerations	male	13	1600
21	12	1947	-31.7	152.75	bull shark	Carcharhinus leucas	provoked	fishing	thigh		minor lacerations	male	9	
5	1	1948	-31.98333333	115.5333333	wobbegong	Orectolobidae	provoked	swimming	leg		other: teeth marks	male		
12	2	1948	-32.85	151.8333333	tiger shark	Galeocerdo cuvier	unprovoked	swimming	"torso, leg"		major lacerations	male	16	
18	11	1948	-9.633333333	142.6833333	tiger shark	Galeocerdo cuvier	provoked	snorkelling	leg		major lacerations	male	41	
26	12	1948	-26.8	153.1333333	tiger shark	Galeocerdo cuvier	unprovoked	swimming	"arm, leg, pelvic region"		major lacerations	male	28	1130
4	12	1948	-33.85	151.25	tiger shark	Galeocerdo cuvier	provoked	spearfishing	other: uninjured			male		
14	1	1949	-33.88333333	151.2666667	whaler shark	Carcharhinidae	provoked	boarding	other: uninjured			male	32	
17	1	1949	-29.1	153.4333333	wobbegong	Orectolobidae	provoked		leg		minor lacerations	male		
13	1	1949	-33.66666667	151.3	white shark	Carcharodon carcharias	unprovoked	boarding	other: uninjured			male	0	
23	1	1949	-32.93333333	151.75	white shark	Carcharodon carcharias	unprovoked	swimming	"leg, hand"		major lacerations	male	20	1500
26	2	1949	-33.65	151.3166667	white shark	Carcharodon carcharias	unprovoked	boarding	other: uninjured			male		
17	4	1949	-16.71666667	145.6333333	tiger shark	Galeocerdo cuvier	unprovoked	swimming	leg		major lacerations	male	13	1330
16	5	1949	-17.96666667	122.1666667	bull shark	Carcharhinus leucas	unprovoked	swimming	arm		major lacerations	female	22	
16	8	1949	-40.11666667	148.9333333	white shark	Carcharodon carcharias	unprovoked	swimming	thigh		minor lacerations	male	18	
28	8	1949	-16.81666667	145.7666667	tiger shark	Galeocerdo cuvier	unprovoked	swimming	torso		abrasion	male	21	1330
28	8	1949	-16.81666667	145.7666667	tiger shark	Galeocerdo cuvier	unprovoked	swimming	torso		major lacerations	male	34	1330
20	11	1949	-34	151.2	wobbegong	Orectolobidae	provoked	swimming	arm		minor lacerations	male	36	
8	1	1950	-37.96666667	144.7	wobbegong	Orectolobidae	provoked	swimming	foot		minor lacerations	male		
11	4	1950	-16.9	145.85	tiger shark	Galeocerdo cuvier	unprovoked	swimming			major lacerations	male	50	
25	11	1950	-28.1	153.1	bull shark	Carcharhinus leucas	unprovoked	swimming	"hand, pelvic region"		major lacerations	male	21	1700
12	11	1950	-23.11666667	150.7333333	tiger shark	Galeocerdo cuvier	unprovoked	unmotorised boating	other: uninjured			male	18	
16	12	1950	-28.1	153.4666667	tiger shark	Galeocerdo cuvier	unprovoked	swimming	"leg, torso"		major lacerations	male	20	1615
3	2	1951	-34.53333333	150.8666667	bull shark	Carcharhinus leucas	provoked	spearfishing	"thigh, torso"		abrasion	male	20	
1	2	1951	-33.88333333	151.2666667	wobbegong	Orectolobidae	unprovoked	swimming	leg		major lacerations	male	14	
26	3	1951	-33.63333333	151.3166667	wobbegong	Orectolobidae	provoked	boarding	torso		minor lacerations	male	23	
2	9	1951	-23.38333333	150.55	bull shark	Carcharhinus leucas	unprovoked	swimming	"leg, torso"		major lacerations	male	56	
22	10	1951	-19.23333333	146.8	tiger shark	Galeocerdo cuvier	unprovoked	swimming	"hand, torso, thigh"		major lacerations	male	42	1900
6	12	1951	-32.93333333	151.75	white shark	Carcharodon carcharias	unprovoked	swimming	"arm, leg, torso"		major lacerations	male	21	1600
30	12	1951	-33.36666667	151.4333333	white shark	Carcharodon carcharias	unprovoked	boarding	other: uninjured			male	32	
7	1	1952	-29.1	153.4333333	wobbegong	Orectolobidae	unprovoked	boarding	"calf, foot"		minor lacerations	male		
10	2	1952	-19.25	146.8166667	bull shark	Carcharhinus leucas	provoked		other: uninjured			male		
6	5	1952	-35.06666667	117.05	wobbegong	Orectolobidae	provoked	fishing	"arm, hand"		abrasion	male		
24	11	1952	-38.38333333	145.15	white shark	Carcharodon carcharias	unprovoked	swimming	torso		abrasion	male	23	
21	12	1952	-38.01666667	140.5666667	white shark	Carcharodon carcharias	provoked	fishing	thigh		major lacerations	male	25	
1	2	1953	-33.86666667	151.2	wobbegong	Orectolobidae	provoked	spearfishing	leg		major lacerations	male		
15	2	1953	-34.56666667	150.8666667	wobbegong	Orectolobidae	provoked	spearfishing	head		other: teeth marks	male	25	
1	2	1953	-33.71666667	151.3	wobbegong	Orectolobidae	provoked	spearfishing	foot		minor lacerations	male		
22	3	1953	-33.73333333	151.3	tiger shark	Galeocerdo cuvier	provoked	spearfishing	arm		minor lacerations	male	23	
29	12	1953	-33.93333333	151.25	white shark	Carcharodon carcharias	unprovoked	swimming	other: uninjured			male	26	
22	12	1953	-33.93333333	151.25	white shark	Carcharodon carcharias	unprovoked	swimming	"arm, leg"		abrasion	male	26	
13	12	1953	-28.11666667	153.4666667	white shark	Carcharodon carcharias	unprovoked	swimming	torso		surface wound	male	16	1200
20	1	1954	-38.05	140.7	wobbegong	Orectolobidae	provoked		"arm, hand"		minor lacerations	male		
22	1	1954	-10.23333333	142.4833333	tiger shark	Galeocerdo cuvier	provoked	spearfishing	arm		major lacerations	female		
30	1	1954	-33.45	151.4333333	whaler shark	Carcharhinidae	unprovoked	swimming	arm		minor lacerations	male		
27	2	1954	-33.33333333	151.5	white shark	Carcharodon carcharias	unprovoked	swimming	thigh		major lacerations	male	23	1715
28	6	1954	-16.91666667	145.99445	tiger shark	Galeocerdo cuvier	provoked	snorkelling	"arm, shoulder"		major lacerations	male	30	
4	9	1954	-9.583333333	143.7666667	tiger shark	Galeocerdo cuvier	provoked	spearfishing			major lacerations	male		
17	1	1955	-33.81666667	151.25	bull shark	Carcharhinus leucas	provoked	spearfishing	"leg, hand"		major lacerations	male	13	1500
5	2	1955	-33.78333333	151.2166667	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		major lacerations	male	25	1400
9	3	1955	-33.41666667	151.45	white shark	Carcharodon carcharias	unprovoked	swimming	other: body not recovered			male	22	1800
15	10	1955	-17.93333333	145.9333333	wobbegong	Orectolobidae	provoked	spearfishing	"arm, hand"		minor lacerations	male	28	1500
14	1	1956	-17.71666667	146.4	tiger shark	Galeocerdo cuvier	provoked	snorkelling	leg		minor lacerations	male	18	
26	2	1956	-21.11666667	149.15	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		major lacerations	male	14	1100
4	2	1956	-38.43333333	145.2333333	wobbegong	Orectolobidae	unprovoked	swimming	leg		minor lacerations	male		
19	2	1956	-37.96666667	145	bronze whaler shark	Carcharhinus brachyurus	provoked	spearfishing	other: uninjured			male	19	
17	3	1956	-32.13333333	115.7333333	whaler shark	Carcharhinidae	unprovoked	diving	other: uninjured			male	25	2155
4	3	1956	-38.33333333	144.7	white shark	Carcharodon carcharias	unprovoked	swimming	torso		major lacerations	male	26	1700
1	5	1956	-10.58333333	142.2166667	tiger shark	Galeocerdo cuvier	provoked	snorkelling			major lacerations	male		
15	8	1956	-28	153.4166667	wobbegong	Orectolobidae	provoked	diving	arm		other: teeth marks	male		
1	1	1957	-28.63333333	153.6166667	white shark	Carcharodon carcharias	unprovoked	boarding	other: uninjured			male		
